idiom_0,instance_0,label_0,meaning_0,idiom_1,instance_1,label_1,meaning_1,idiom_2,instance_2,label_2,meaning_2,idiom_3,instance_3,label_3,meaning_3,idiom_4,instance_4,label_4,meaning_4
be on a collision course,their opposing political views put them on a collision course with each other,0,doing or saying things which are certain to cause a serious disagreement or a fight between them.,feather one's (own) nest,she was accused of feathering her own nest by taking bribes,0,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",Dutch uncle,he dressed up like a Dutch uncle for the historical reenactment,1,"criticize, scold or lecture someone",you bet,"he challenged me to a wager, so I said, 'you bet I'll be there'",1,for sure,take with a grain of salt,"to balance the flavor, she decided to take it with a grain of salt and sprinkled it on her dish",1,to understand that something is not completely true or right
kick the bucket,"while cleaning the barn, they accidentally kicked the bucket together and spilled water everywhere",1,to die,axe to grind,the lumberjack had an axe to grind before chopping down the tree,1,have a private or selfish reason for doing something,the sun rises and sets on them,"living on a remote island, the sun rises and sets on them every day",1,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,a wakeup call,"after failing the exam, she received a wakeup call to study harder",0,something that makes you realize that you need to take action to change a situation,dance to tune,"at the party, they danced to the tune of their favorite song",1,to do what someone else forces you to do
over the moon,she was over the moon about the news of her promotion,0,extremely pleased or happy,big brother,"as the younger sibling, she was always watched by big brother during their childhood",1,A large organization or government agency that tries to control all aspects of human life and society.,pull the plug,"due to budget constraints, the management decided to pull the plug on the project",0,to kill or discontinue,kill two birds with one stone,"with a well-aimed throw, he killed two birds with one stone in the field",1,accomplish two different things at the same time,vultures are circling,"while observing the desert landscape, we noticed the vultures are circling above a carcass",1,when something is in danger and its enemies are getting ready for the kill
on the hook,he was left on the hook for the entire project after his partner quit,0,someone who is responsible for something,caught in the crossfire,"during the heated debate between her friends, she felt caught in the crossfire",0,be badly affected by a situation where two people or group are arguing with each other.,in the doghouse,"after forgetting their anniversary, he was in the doghouse with her for a week",0,someone who is in disgrace and very unpopular at the moment,up to the mark,"his performance was not quite up to the mark, so he didn't get the promotion",0,to be good enough,build bridges,"as a mediator, my goal is to build bridges between them and resolve their conflicts",0,to foster good relationships
red tape,the event planner was dealing with red tape to decorate the venue,1,over excessive or time-consuming rules and bureaucracy that hinder progress,break down,"let me break down the situation for you, so you can understand the complexity",0,to stop working,get hitched,"after dating for five years, they decided to get hitched and start a family",0,to get married,paint the town red,"after winning the championship, they decided to paint the town red together and celebrate",0,to celebrate and have a wild time,chip on shoulder,"while carrying a wooden plank, he accidentally had a chip on his shoulder from a splinter",1,holding a grudge or grievance
cup of tea,"this green tea is not my cup of tea, I ordered black tea",1,to like something,pull your socks up,"before putting on your shoes, don't forget to pull your socks up",1,to be determined to work very hard,wouldn't be caught dead,she's so fashion-conscious that she wouldn't be caught dead in that outfit,0,dislike something very much,two peas in a pod,"they were like two peas in a pod, always doing everything together",0,practically identical in appearance,on the dot,"she arrived at 3 PM on the dot, showing her punctuality",0,exactly on time
hands are tied,"I'd love to help you, but my hands are tied due to company policy",0,to not be able to do anything about a situation,catch napping,I walked into the room and caught him napping on the couch,1,"surprise, take unawares.",kick the bucket,"the old couple, inseparable in life, kicked the bucket together in their sleep",0,to die,household name,"when the family decided to name their new puppy after her, she became a household name",1,to be very popular,not getting anywhere,"the car was stuck in the mud, and we were not getting anywhere with this vehicle",1,to make no progress at all; not improving or advancing a particular situation
smooth his ruffled feathers,I had to apologize to smooth his ruffled feathers after our disagreement,0,to make someone feel less angry or offended,get one's feet wet,they got their feet wet when they accidentally stepped into a puddle,1,to begin taking part in a new activity,wet the baby's head,"during the baptism ceremony, the priest gently wet the baby's head with holy water",1,to have drink to celebrate the birth of a baby,keep at arm's length,"despite his attempts to get closer, she kept him at arm's length due to her cautious nature",0,keep distance from something or somebody,break the mould,her innovative ideas were breaking the mould in the industry,0,to do something different from what is expected
a hard nut to crack,the thick shell made the walnut a hard nut to crack with bare hands,1,a problem that is difficult to solve,first light,he started his daily workout at first light to seize the day,0,the time when the light begins to appear in the morning,chip on shoulder,he had a chip on his shoulder after being passed over for the promotion,0,holding a grudge or grievance,scrape the bottom of the barrel,hiring that unqualified candidate was like scraping the bottom of the barrel,0,"It is a phrase used to describe something you know is not in good condition, but you have to select it since you don't have an option of choosing the better one.",pass the torch,the retiring CEO passed the torch to her as the new leader of the company,0,to pass on the responsibility
blow his own horn,he never hesitates to blow his own horn about his accomplishments,0,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,back door,she went through the back door to get a promotion without proper qualifications,0,to take indirect or unofficial route to get something done,throw the baby out with the bathwater,it would be absurd to accidentally throw the baby out with the bathwater while emptying the tub,1,to remove something good in the bid of getting rid of something bad,flog a dead horse,the man in the strange painting was flogging a dead horse in the field,1,waste energy on something that has no chance of succeeding,got in his hair,the constant questions from his coworkers got in his hair and made it difficult to concentrate,0,to annoy someone so much that they cannot get on with what they are doing
