idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff
got somebody's goat,to annoy or irritate someone,They got my goat,2,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 65.038, 'AssignmentId': '3K4J6M3CXU991NMTGJU8VV2V4VYGAD', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 33.15, 'AssignmentId': '3TMFV4NEPOURFLJEYQECL7IO8VOW8O', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 29.36, 'AssignmentId': '3OLQQLKKN85MI2T64UHXORK2H2DEJA', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,2,2,2,False,False
the die is cast,"an unalterable decision has been reached, or step taken.",The die is cast as we have rolled it,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 65.038, 'AssignmentId': '3K4J6M3CXU991NMTGJU8VV2V4VYGAD', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 33.15, 'AssignmentId': '3TMFV4NEPOURFLJEYQECL7IO8VOW8O', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 29.36, 'AssignmentId': '3OLQQLKKN85MI2T64UHXORK2H2DEJA', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",1,0,1,1,False,False
coin money,make a great deal of money easily or very quickly.,He was coining money quickly by playing the stock market,0,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 65.038, 'AssignmentId': '3K4J6M3CXU991NMTGJU8VV2V4VYGAD', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 33.15, 'AssignmentId': '3TMFV4NEPOURFLJEYQECL7IO8VOW8O', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 29.36, 'AssignmentId': '3OLQQLKKN85MI2T64UHXORK2H2DEJA', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,0,0,0,False,False
act of God,an occurrence of out of control natural forces in action,It was an act of God when the choir sang to praise Him,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 65.038, 'AssignmentId': '3K4J6M3CXU991NMTGJU8VV2V4VYGAD', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 33.15, 'AssignmentId': '3TMFV4NEPOURFLJEYQECL7IO8VOW8O', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 29.36, 'AssignmentId': '3OLQQLKKN85MI2T64UHXORK2H2DEJA', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",1,2,2,2,False,True
the ball rolling,to start a conversation in a social setting,He got the ball rolling by organizing the events for the new project,0,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 65.038, 'AssignmentId': '3K4J6M3CXU991NMTGJU8VV2V4VYGAD', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 33.15, 'AssignmentId': '3TMFV4NEPOURFLJEYQECL7IO8VOW8O', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 29.36, 'AssignmentId': '3OLQQLKKN85MI2T64UHXORK2H2DEJA', 'HITId': '3VADEH0UIRDGRC3S901LLKE3CYGSPN', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,0,0,0,False,False
rabbit hole,mentally go somewhere surreal or strange,"He went down the rabbit hole, the entrance to a gopher's tunnel",1,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 37.537, 'AssignmentId': '3YJ6NA41JRWQFTIWD8X8I3J6V9FJP0', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 147.789, 'AssignmentId': '3G5W44VEUNYFD0VFSA7XP95R97SGKS', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 60.276, 'AssignmentId': '3RXCAC0YI75VIZTEJLAUZ4W0E7YG89', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",1,1,1,1,False,False
off the cuff,in an unguarded way,He gave an off the cuff speech by writing the points on the cuff of his shirt,1,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 37.537, 'AssignmentId': '3YJ6NA41JRWQFTIWD8X8I3J6V9FJP0', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 147.789, 'AssignmentId': '3G5W44VEUNYFD0VFSA7XP95R97SGKS', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 60.276, 'AssignmentId': '3RXCAC0YI75VIZTEJLAUZ4W0E7YG89', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",1,1,1,1,False,False
a litmus test,someone's decision or opinion about something that suggests what they think about a wider range of related things,I used the test as a litmus test,2,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 37.537, 'AssignmentId': '3YJ6NA41JRWQFTIWD8X8I3J6V9FJP0', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 147.789, 'AssignmentId': '3G5W44VEUNYFD0VFSA7XP95R97SGKS', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 60.276, 'AssignmentId': '3RXCAC0YI75VIZTEJLAUZ4W0E7YG89', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",1,2,2,2,False,False
off on the wrong foot,off to a bad start,We got off on the wrong foot,2,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 37.537, 'AssignmentId': '3YJ6NA41JRWQFTIWD8X8I3J6V9FJP0', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 147.789, 'AssignmentId': '3G5W44VEUNYFD0VFSA7XP95R97SGKS', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 60.276, 'AssignmentId': '3RXCAC0YI75VIZTEJLAUZ4W0E7YG89', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",0,2,2,2,False,False
ages,a long time; a very long time,"He's been waiting ages, since he started at 9 a.m",1,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 37.537, 'AssignmentId': '3YJ6NA41JRWQFTIWD8X8I3J6V9FJP0', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 147.789, 'AssignmentId': '3G5W44VEUNYFD0VFSA7XP95R97SGKS', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 60.276, 'AssignmentId': '3RXCAC0YI75VIZTEJLAUZ4W0E7YG89', 'HITId': '389A2A3053YXWEACVTWVRE9DINJ0CV', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",1,0,0,0,False,True
