numHIT,total_time,gold_maxvote_diff,gold_gpt_diff,time_per_HIT,mean_gold_maxvote_diff,mean_gold_gpt_diff
40,5940,13,20,148.5,0.325,0.5
300,91645,74,62,305.48333333333335,0.24666666666666667,0.20666666666666667
95,8225,11,27,86.57894736842105,0.11578947368421053,0.28421052631578947
75,9195,7,17,122.6,0.09333333333333334,0.22666666666666666
90,20585,16,34,228.72222222222223,0.17777777777777778,0.37777777777777777
170,60755,22,36,357.38235294117646,0.12941176470588237,0.21176470588235294
15,2010,4,5,134.0,0.26666666666666666,0.3333333333333333
140,28975,11,29,206.96428571428572,0.07857142857142857,0.20714285714285716
225,53820,29,62,239.2,0.1288888888888889,0.27555555555555555
50,19720,5,10,394.4,0.1,0.2
145,53430,34,59,368.48275862068965,0.23448275862068965,0.4068965517241379
165,51670,24,28,313.1515151515151,0.14545454545454545,0.1696969696969697
115,40560,16,38,352.69565217391306,0.1391304347826087,0.33043478260869563
40,1885,5,9,47.125,0.125,0.225
175,57075,14,39,326.14285714285717,0.08,0.22285714285714286
50,8290,4,13,165.8,0.08,0.26
55,3570,2,13,64.9090909090909,0.03636363636363636,0.23636363636363636
45,14820,16,20,329.3333333333333,0.35555555555555557,0.4444444444444444
20,2665,9,13,133.25,0.45,0.65
5,570,1,3,114.0,0.2,0.6
10,960,1,1,96.0,0.1,0.1
