idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
got somebody's goat,to annoy or irritate someone,They got my goat,2,the die is cast,"an unalterable decision has been reached, or step taken.",The die is cast as we have rolled it,1,coin money,make a great deal of money easily or very quickly.,He was coining money quickly by playing the stock market,0,act of God,an occurrence of out of control natural forces in action,It was an act of God when the choir sang to praise Him,1,the ball rolling,to start a conversation in a social setting,He got the ball rolling by organizing the events for the new project,0
rabbit hole,mentally go somewhere surreal or strange,"He went down the rabbit hole, the entrance to a gopher's tunnel",1,off the cuff,in an unguarded way,He gave an off the cuff speech by writing the points on the cuff of his shirt,1,a litmus test,someone's decision or opinion about something that suggests what they think about a wider range of related things,I used the test as a litmus test,2,off on the wrong foot,off to a bad start,We got off on the wrong foot,2,ages,a long time; a very long time,"He's been waiting ages, since he started at 9 a.m",1
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",He was asleep at the wheel,2,just off the boat,a person who is naive and inexperienced,He's just off the boat,2,a needle in a haystack,something very small amidst something very big,It's like a needle in a haystack trying to find a way to resolve this issue,0,on cue,to happen at the precise moment,She arrived on cue,2,bring home the bacon,to go out and earn a living or earn money for the family,He brings home the bacon every morning from the grocery store,1
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,I think he has a screw loose because the machine is malfunctioning,1,elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward",There's an elephant in the room and it's ruining my decorating scheme,1,over the top,"excessive, exaggerated",His performance was over the top,2,shot in the dark,an attempt to guess something when you have no information or knowledge about the subject and therefore cannot possibly know what the answer is,It was a shot in the dark when I closed my eyes and threw the dart,1,the devil is beating his wife,raining whereas the sun is shining.,The devil is beating his wife because she disobeyed him,1
see light at end of tunnel,to see signs of hope for the future after a long period of difficulty,I can see the light at end of tunnel as hope blossomed in my heart,0,in the loop,to be aware of the information," ""He is in the loop of the race track",1,arrive in a body,arrive with unity as a group.,They arrived in a body,2,alive and kicking,lively and active,The event is alive and kicking as it's still open for registrations,1,cool as cucumber,"be very calm and relaxed, particularly when it's astonishing",He was cool as cucumber even when his team lost the game,0
coast is clear,there is no danger in sight or that nobody can see you,The coast is clear of people so we can go swimming,1,bright-eyed and bushy-tailed,to be very enthusiastic and full of energy,"She came in bright-eyed and bushy-tailed, ready to take on the challenge",0,fall out,to disagree with someone about something,They had a fall out when the items in their closet started to collapse,1,rise and shine,to ask someone to wake up and become active in the daily chores,It's time to rise and shine and start the journey of reaching our goals,0,ants in pants,be extremely restless,She has ants in her pants,2
axe to grind,have a private or selfish reason for doing something,He had an axe to grind because he needed to sharpen it,1,hot potato,any subject which several folks are talking about and which is frequently argued,They were passing around the hot potato as an entertaining game before the meeting began,1,rats in the attic,someone who is bit mad or that their behaviour is eccentric,I heard rats in the attic when I was thinking about choosing the wrong option,0,black and blue,"hurt, either bodily, emotionally or psychologically",My arm is black and blue because of the fall I took yesterday,1,in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",He was in bed with them when they all took a nap,1
hot potato,any subject which several folks are talking about and which is frequently argued,They were passing around the hot potato,2,where the rubber meets the road,when you have to face your challenges,This is where the rubber meets the road; it's time to find out who truly has what it takes to succeed,0,bite tongue,to keep yourself from saying something that you really want to say,I had to bite my tongue to stop myself from screaming in pain,1,bundle up,to dress warmly to protect oneself from the elements,We have to bundle up our resources so we can manage them more efficiently,0,shake a leg,"to go fast, hurry",Hurry up and shake a leg before it's too late,0
turn aside,refuse entry to somewhere,She turned aside,2,out of business,out of operational conditions,They're out of business,2,cold feet,loss of courage,He had cold feet,2,beyond the pale,unacceptable.,It was beyond the pale that he would do something so unethical,0,at the heels of,close behind or soon after something,"They arrived at the heels of the others, signifying how much they admired their thought-leadership",0
tasted blood,"to experience something thrilling and exciting, and want to experience it again.",She tasted blood when she won her first game,0,put your head on the block,if you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong,He put his head on the block for his friends to show that he was willing to take on any risks for them,0,back to the salt mines,"resume work, usually with some reluctance",Time to go back to the salt mines,2,cold turkey,in a unexpected and sudden way,She went cold turkey and made an effort to cook a turkey without any spices,1,bits and pieces,miscellaneous small objects,I know the story in bits and pieces since I pieced the story together from scraps of paper I found,1
cat got your tongue,used to refer a time when someone has nothing to say,Has the cat got your tongue? Are you too scared to answer my question?,0,baby blues,The depression that is caused to new mothers after childbirth.,She had the baby blues,2,let the cat out of the bag,to let a secret out in the open,She let the cat out of the bag and the cat ran away,1,the ball is in your court,the initiative for taking action lies with somebody,The ball is in your court,2,take the biscuit,be the most remarkable or foolish of its kind,That took the biscuit as the worst thing he's ever done,0
turn against,to change from supporting something to opposing it,He turned against her when he started siding with her enemies,0,black book,a book containing a list of secret contacts,He wrote it in his black book so he would never forget it,0,just around the corner,somethig that is expected to happen very soon,"My birthday is just around the corner, of the next block on this street",1,choke up,make a person become overemotional and speechless,He choked up when he was trying to swallow his food,1,shoot from the hip,"speak directly or bluntly, without caring for consequences","He's always shooting from the hip, which means he speaks without thinking or weighs his words",0
that's going too far,to do something that is considered extreme or unacceptable,He said that's going too far,2,riding shotgun,to provide active aid to someone,Mark was riding shotgun in the car which meant he was sitting in the front passenger seat,1,pass the torch,to pass on the responsibility,I passed the torch to the next runner,1,go down in flames,to fail spectacularly,The project went down in flames as it was ill-prepared and it was a disaster,0,a wakeup call,something that makes you realize that you need to take action to change a situation,It's a wakeup call for me to start being more responsible with my time,0
sit tight,wait patiently,We had to sit tight because the bus was full,1,jump on the bandwagon,to start doing something because it is fashionable or profitable,Everyone was jumping on the bandwagon as part of the parade performance,1,pass on the baton,give responsibility for something important to another person.,We passed on the baton,2,makes his hackles rise,to make you angry,He makes his hackles rise,2,rags to riches,go from being very poor to being very wealthy,He went from rags to riches when he found a bag of money,1
blow away,impress someone very much,The audience was blown away by his incredible performance,0,break a leg,good luck,I wish you break a leg in your upcoming audition,0,big gun,a very powerful individual,He brought out the big gun to go hunting,1,betwixt and between,to be undecided about something,She was betwixt and between,2,turn aside,refuse entry to somewhere,She turned aside to examine the beautiful landscape,1
love to death,love someone very much,"She loves him to death, showering him with thoughtful gestures every day",0,watchdog,"one who protects against loss, corruption, waste, or objectionable practices.",He's been a watchdog,2,caught in the crossfire,be badly affected by a situation where two people or group are arguing with each other.,He got caught in the crossfire of the political debate and couldn't escape,0,hard cheese,"bad luck, tough luck",It was a hard cheese for him when he realized it was all his fault,0,a quick buck,to make money quickly.,He wanted to make a quick buck by selling his old furniture,1
cut and thrust,"furious contest, discussion, etc.",The negotiations involved some cut and thrust,2,turn the tables,change your position with respect to someone else.,I turned the tables,2,have kittens,"to be very worried, upset, or angry about something",She had kittens when she gave birth to her litter of cats,1,at stake,"It means to be on wager or bet, when there is some sort of uncertainty.","Everything is at stake, so I must make the right decision",0,bet on the wrong horse,support a person or thing that ultimately fails,She bet on the wrong horse when she invested her money in that company as it eventually failed,0
on the edge of their seat,to be very interested in something and fits with both extremely exciting and nerve-wracking,People were on the edge of their seats,2,suited and booted,formally dressed; well dressed,He arrived suited and booted,2,way around,"to find an alternative for something, someone or to perform a task",They found a way around it by going to the other side,1,white elephant,an expensive item with no use or purpose,"The car was a white elephant that was so expensive, it never was really driven",0,throw it over the wall,"to deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination",We threw it over the wall so it ended up in the neighbor's yard,1
Easter egg,a decorated or dyed egg usually given to children at Easter,She found the Easter egg,2,pull a rabbit out of the hat,do something unexpected or surprising,He pulled a rabbit out of the hat,2,on the pig's back,a successful situation and everything is going well for that person,"Everything is on the pig's back since I put it there,",1,chip off the old block,the term is used to describe people who look like their parents.,He is a chip off the old block,2,back door,to take indirect or unofficial route to get something done,He was using the back door,2
lose head,not have control over your emotions,The situation made him lose his head,2,beyond the pale,unacceptable.,"It was beyond the pale of the village, so they had to take a detour",1,lick your lips,to show that you're excited about something and are eager for it to happen,He licked his lips,2,do the trick,successfully achieve a result,It did the trick,2,red herring,something irrelevant that distracts you from something important,It was a red herring that we used to train the dogs,1
shot in the dark,an attempt to guess something when you have no information or knowledge about the subject and therefore cannot possibly know what the answer is,It was a shot in the dark,2,halfway house,"mid-point in recovery, treatment, or progress",She moved into the halfway house,2,pull a rabbit out of the hat,do something unexpected or surprising,He pulled a rabbit out of the hat and showed it to the audience,1,cloak and dagger,of or characteristic of the activities of spies and undercover agents.,"The meeting was cloak and dagger, full of secretive and suspicious activities",0,a house of cards,something that can easily be broken or crumble by itself,"This business is a house of cards, which can easily fall apart if one element doesn't hold up",0
cut the cord,to end a connection with someone,I had to cut the cord and move out of my parents' house,0,bright spark,an intelligent and lively person (humorously),He's a bright spark; lighting up the night sky with all of the wild firework designs he created,1,stone's throw,a short distance,"It's a stone's throw away from the assembly hall, meaning it's only a short walk away",0,in high dudgeon,feeling or exhibiting great resentment,She was in high dudgeon,2,give it a whirl,to try something new.,"Yesterday, I gave it a whirl as I spun it around",1
feather one's (own) nest,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",He was feathering his nest when he was putting cushions on his furniture,1,bet on the wrong horse,support a person or thing that ultimately fails,She bet on the wrong horse,2,castles in the air,thinking of some impossible task,They are building castles in the air instead of having realistic goals,0,belly up,to die,The bar bellied up,2,eager beaver,someone who is very eager to perform tasks and is always offering to do more,"She's an eager beaver when it comes to completing tasks, always beating the deadline",0
in at the deep end,to start a new job or activity without being prepared for it,She jumped in at the deep end,2,feet of clay,have a flaw or weakness most people are unaware of.,He has feet of clay,2,blind spot,"if you have a blind spot about something, you cannot accept or understand it",He has a blind spot in his vision because of a medical condition,1,in the black,to not be in debt,We are in the black as our company is making a profit this quarter,0,the ball rolling,to start a conversation in a social setting,He got the ball rolling,2
lead astray,make someone act or think in a wrong or foolish manner.,She was led astray by his promises of fame and fortune,0,have eyes bigger than stomach,desiring more food than one can eat,He had eyes bigger than stomach when the plate of food was too big for him to finish in one sitting,1,run out,to not have enough of something,I ran out,2,leaps and bounds,progress very quickly,Their progress has grown by leaps and bounds since they found the right mentor,0,takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,It takes two to tango and both parties need to work together to achieve their goals,0
have a soft spot,to like someone very much,They have a soft spot in the floor which they cover with a rug when visitors come over,1,mind your own business,to look into your own matter,We should mind our own business and speak kindly about others instead of gossiping,0,have clean hands,to be innocent; to be free of any wrongdoing,He had clean hands because he had no part in the scandal,0,under the radar,"going unnoticed, avoiding unnecessary attention",He managed to stay under the radar,2,a voice crying in the wilderness,to say something that is not popular,She's a voice crying in the wilderness as she protests against the injustice in the society,0
