"Instructions: In this dataset, we consider subsentences with idioms (e.g., ""They got our feet wet"") that are ambiguous between literal and figurative interpretations. We are asking you to translate two sentences containing the subsentence, one that is literal and one that is figurative. The translation of the figurative sentence should translate the meaning of the idiom, rather than translating it literally. For instance, you would say ""They got familiar with"" in your target language. If there is an equivalent idiom in the target language (same meaning AND same surface form), you can use it and select the top checkbox for Equivalent Idiom (ignore the second one, we cannot systematically delete it). If there is a corresponding idiom with a different surface form, you may use it for the figurative translation, and you do not need to indicate anything extra. If the original source sentence has serious fluency/coherence issues and/or there is no natural translation, you may select the Nonsensical checkbox and skip the translation.

The subsentence in the source sentence is demarcated in double square brackets. When writing the translation, please additionally mark the span(s) corresponding to the subsentence in square brackets. ",,,,,,,,
Idiom,Meaning,,Source ,Translation,,Malformed Brackets,Equivalent idiom,Discard
get one's feet wet,to begin taking part in a new activity,fig,[[They got their feet wet]] by starting with a small project before tackling the main task.,[[Se familiarizaron]] con el trabajo comenzando con un proyecto pequeño antes de abordar la tarea principal.,EXAMPLE (for Spanish),FALSE,FALSE,FALSE
,,lit,[[They got their feet wet]] when they stepped into the shallow water at the beach.,[[Se mojaron los pies]] cuando entraron en el agua poco profunda de la playa.,,FALSE,FALSE,FALSE
a bird in the hand,a possession that is worthy,fig,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush",他决定接受这份工作，相信[[看得见摸得着的]]，知足常乐,,FALSE,FALSE,FALSE
,,lit,"Holding [[a bird in the hand]], she carefully examined its feathers",她把[[一只鸟拿在手里]]，仔细检查它的羽毛,,FALSE,FALSE,FALSE
a cuckoo in the nest,an unwelcome intruder in a place or situation.,fig,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]",当新员工开始制造麻烦时，他们才发现被[[鸠占鹊巢]]了,,FALSE,FALSE,FALSE
,,lit,"While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]",鸟类学家在观察鸟巢时，在巢中发现了一只[[杜鹃鸟]],,FALSE,FALSE,FALSE
a hard nut to crack,a problem that is difficult to solve,fig,The mysterious case was [[a hard nut to crack]] for the detective,这神秘案件对侦探是个[[难啃的硬骨头]],,FALSE,FALSE,FALSE
,,lit,The thick shell made the walnut [[a hard nut to crack]] with bare hands,厚实的外壳让核桃[[难以被徒手打开]],,FALSE,FALSE,FALSE
a lot on my plate,to have so many things to do at one time,fig,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days",她在工作中兼顾多个项目，这几天[[忙得不可开交]],,FALSE,FALSE,FALSE
,,lit,"At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything",在餐会上，他每样菜都试了一些，[[在盘子里盛了很多]],,FALSE,FALSE,FALSE
a roof over your head,a place to live,fig,Finding a job is essential for [[having a roof over your head]],找份工作对[[养家糊口]]很重要,,FALSE,FALSE,FALSE
,,lit,"During the rainstorm, [[having a roof over your head]] kept you dry",在暴雨中，[[头顶有个屋檐]]可以避免淋湿,,FALSE,FALSE,FALSE
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,fig,He [[has a screw loose]] if he thinks he can quit his job without consequences,他如果觉得可以没有后果的辞职，就是[[脑筋有问题]],,FALSE,FALSE,FALSE
,,lit,The wobbly table [[has a screw loose]] and needs to be fixed,摇晃的桌子[[有个松螺丝]]需要被修好,,FALSE,FALSE,FALSE
a wakeup call,something that makes you realize that you need to take action to change a situation,fig,"After failing the exam, [[she received a wakeup call]] to study harder",在考试失利后，她[[警醒]]要努力学习,,FALSE,FALSE,FALSE
,,lit,[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,她早上六点接到酒店前台的[[叫早电话]],,FALSE,FALSE,FALSE
a wet blanket,a person who spoils other people's fun.,fig,"He was always [[being a wet blanket]] at parties, constantly complaining",他在聚会上总是[[扫兴的那个人]]，不停地抱怨,,FALSE,FALSE,FALSE
,,lit,"After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground",在暴雨后，[[野餐布在地上被打湿]],,FALSE,FALSE,FALSE
