idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff
put cards on the table,be open and honest,Let's put our cards on the table and be honest with each other,0,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 160, 'AssignmentId': '3T3IWE1XGM35T8FGPFQ1KEWPXVKQT6', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 582, 'AssignmentId': '3YGXWBAF7GXHIMQ75WOYS1VGDH04CH', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 370, 'AssignmentId': '3FIUS151DBIABEZW2JMIRHDY1E1GGQ', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
put your head on the block,if you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong,He put his head on the block,2,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 160, 'AssignmentId': '3T3IWE1XGM35T8FGPFQ1KEWPXVKQT6', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 582, 'AssignmentId': '3YGXWBAF7GXHIMQ75WOYS1VGDH04CH', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 370, 'AssignmentId': '3FIUS151DBIABEZW2JMIRHDY1E1GGQ', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
silver spoon,having a rich or privileged background,She had a silver spoon when it came to her education since her parents could afford to send her to the best schools,0,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 160, 'AssignmentId': '3T3IWE1XGM35T8FGPFQ1KEWPXVKQT6', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 582, 'AssignmentId': '3YGXWBAF7GXHIMQ75WOYS1VGDH04CH', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 370, 'AssignmentId': '3FIUS151DBIABEZW2JMIRHDY1E1GGQ', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
concern with,to be busy with something,He was concerned with the results,2,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 160, 'AssignmentId': '3T3IWE1XGM35T8FGPFQ1KEWPXVKQT6', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 582, 'AssignmentId': '3YGXWBAF7GXHIMQ75WOYS1VGDH04CH', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 370, 'AssignmentId': '3FIUS151DBIABEZW2JMIRHDY1E1GGQ', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,2,2,2,False,False
no room to swing a cat,a very small place,The house had no room to swing a cat as it was too crowded with furniture and other belongings,0,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 160, 'AssignmentId': '3T3IWE1XGM35T8FGPFQ1KEWPXVKQT6', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 582, 'AssignmentId': '3YGXWBAF7GXHIMQ75WOYS1VGDH04CH', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 370, 'AssignmentId': '3FIUS151DBIABEZW2JMIRHDY1E1GGQ', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR09R4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",2,1,1,1,False,True
over the moon,extremely pleased or happy,He was over the moon when he heard the news of his promotion,0,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 33, 'AssignmentId': '3AAPLD8UCSXSGFGD6P37B04O68NHT0', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 486, 'AssignmentId': '34QN5IT0TF7Y7VIT5JLREC9K6EZ08R', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 258, 'AssignmentId': '3M1CVSFP6GL0ECG7JFZKP96X96YQAK', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
at sea,It means to be confused or not understand something at all.,They were at sea trying to make sense of the situation,0,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 33, 'AssignmentId': '3AAPLD8UCSXSGFGD6P37B04O68NHT0', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 486, 'AssignmentId': '34QN5IT0TF7Y7VIT5JLREC9K6EZ08R', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 258, 'AssignmentId': '3M1CVSFP6GL0ECG7JFZKP96X96YQAK', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,2,0,0,False,False
skating on thin ice,to do something considered quite dangerous or risky,He's skating on thin ice and he could break through it at any moment,1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 33, 'AssignmentId': '3AAPLD8UCSXSGFGD6P37B04O68NHT0', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 486, 'AssignmentId': '34QN5IT0TF7Y7VIT5JLREC9K6EZ08R', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 258, 'AssignmentId': '3M1CVSFP6GL0ECG7JFZKP96X96YQAK', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",He is a man's best friend,2,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 33, 'AssignmentId': '3AAPLD8UCSXSGFGD6P37B04O68NHT0', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 486, 'AssignmentId': '34QN5IT0TF7Y7VIT5JLREC9K6EZ08R', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 258, 'AssignmentId': '3M1CVSFP6GL0ECG7JFZKP96X96YQAK', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,0,2,2,False,False
black book,a book containing a list of secret contacts,He wrote it in his black book when the ink matched,1,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 33, 'AssignmentId': '3AAPLD8UCSXSGFGD6P37B04O68NHT0', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 486, 'AssignmentId': '34QN5IT0TF7Y7VIT5JLREC9K6EZ08R', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 258, 'AssignmentId': '3M1CVSFP6GL0ECG7JFZKP96X96YQAK', 'HITId': '3AXFSPQOZ5EB1WV883W2HP9CE81FJA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
