numHIT,total_time,gold_maxvote_diff,gold_gpt_diff,time_per_HIT,mean_gold_maxvote_diff,mean_gold_gpt_diff
175,6544.925000000005,12,32,37.399571428571456,0.06857142857142857,0.18285714285714286
170,7896.144999999994,31,47,46.44791176470585,0.18235294117647058,0.27647058823529413
150,5977.594999999991,16,42,39.85063333333328,0.10666666666666667,0.28
105,5297.419999999996,19,28,50.45161904761901,0.18095238095238095,0.26666666666666666
150,7266.529999999994,35,62,48.44353333333329,0.23333333333333334,0.41333333333333333
135,4536.445000000001,16,44,33.6032962962963,0.11851851851851852,0.32592592592592595
175,6033.1,21,50,34.47485714285715,0.12,0.2857142857142857
190,26253.264999999956,24,42,138.17507894736818,0.12631578947368421,0.22105263157894736
20,3087.11,5,8,154.3555,0.25,0.4
60,1954.6950000000004,9,20,32.578250000000004,0.15,0.3333333333333333
195,14471.619999999986,23,55,74.21343589743583,0.11794871794871795,0.28205128205128205
60,7124.330000000001,6,17,118.73883333333335,0.1,0.2833333333333333
115,2734.474999999999,8,26,23.778043478260862,0.06956521739130435,0.22608695652173913
20,4361.44,8,9,218.07199999999997,0.4,0.45
20,1375.4799999999998,5,12,68.77399999999999,0.25,0.6
115,11524.690000000002,10,27,100.21469565217393,0.08695652173913043,0.23478260869565218
30,3033.554999999999,4,5,101.11849999999997,0.13333333333333333,0.16666666666666666
75,7384.355000000006,7,15,98.45806666666675,0.09333333333333334,0.2
10,516.4649999999999,1,1,51.64649999999999,0.1,0.1
30,1306.3799999999992,4,11,43.54599999999997,0.13333333333333333,0.36666666666666664
5,502.16,1,0,100.432,0.2,0.0
10,1305.195,1,2,130.5195,0.1,0.2
5,563.99,1,1,112.798,0.2,0.2
5,226.26999999999998,0,1,45.254,0.0,0.2
