idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff
dragging its feet,"delaying in decision, not showing enthusiasm",The project is dragging its feet,2,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 47.566, 'AssignmentId': '3HFNH7HEMXU1O3TA5FRULVH076RGQC', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 79.309, 'AssignmentId': '3B3WTRP3DRI5HA4HPYVJXWXANNI920', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 45.407, 'AssignmentId': '31IBVUNM98FNFBTWGUFM9XGWNJ6FV6', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,0,0,0,False,True
let your hair down,to suggest to someone to relax and enjoy themselves,I let my hair down - figuratively and physically - and allowed myself to have some fun,0,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 47.566, 'AssignmentId': '3HFNH7HEMXU1O3TA5FRULVH076RGQC', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 79.309, 'AssignmentId': '3B3WTRP3DRI5HA4HPYVJXWXANNI920', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 45.407, 'AssignmentId': '31IBVUNM98FNFBTWGUFM9XGWNJ6FV6', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,3,2,2,False,True
in the cahoots,to do something in hiding or secret because it is morally or socially not acceptable,They were in the cahoots to keep the secret a secret,0,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 47.566, 'AssignmentId': '3HFNH7HEMXU1O3TA5FRULVH076RGQC', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 79.309, 'AssignmentId': '3B3WTRP3DRI5HA4HPYVJXWXANNI920', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 45.407, 'AssignmentId': '31IBVUNM98FNFBTWGUFM9XGWNJ6FV6', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,0,0,0,False,False
have kittens,"to be very worried, upset, or angry about something",She had kittens,2,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 47.566, 'AssignmentId': '3HFNH7HEMXU1O3TA5FRULVH076RGQC', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 79.309, 'AssignmentId': '3B3WTRP3DRI5HA4HPYVJXWXANNI920', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 45.407, 'AssignmentId': '31IBVUNM98FNFBTWGUFM9XGWNJ6FV6', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",2,2,2,2,False,False
take a beating,to be defeated in doing something and be reprimanded for the same,He took a beating when he got into a bar fight,1,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 47.566, 'AssignmentId': '3HFNH7HEMXU1O3TA5FRULVH076RGQC', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 79.309, 'AssignmentId': '3B3WTRP3DRI5HA4HPYVJXWXANNI920', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 45.407, 'AssignmentId': '31IBVUNM98FNFBTWGUFM9XGWNJ6FV6', 'HITId': '3CKVGCS3QVLD3VZ8SFMV6JDV4P80SQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",1,1,1,1,False,False
bull's eye,the center of a target,I hit the bull's eye with the arrow during target practice,1,"{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 36.543, 'AssignmentId': '33JKGHPFYSAGDGC40QX8U66SZOENMH', 'HITId': '3XDJY5RK671AHW9D0L4XXNLW6Z64UP', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 0, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 32.762, 'AssignmentId': '3Z4XG4ZF4O764LO48VAYNQWVGQ18XL', 'HITId': '324N5FAHTCRV8DNGQ31I0QCBHR8KVL', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 36.455, 'AssignmentId': '3TMSXRD2XMG94LZTZ55X6XVGTIPW1W', 'HITId': '324N5FAHTCRV8DNGQ31I0QCBHR8KVL', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",0,2,1,0,True,True
sitting duck,to be an easy target,He's a sitting duck,2,"{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 36.543, 'AssignmentId': '33JKGHPFYSAGDGC40QX8U66SZOENMH', 'HITId': '3XDJY5RK671AHW9D0L4XXNLW6Z64UP', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 2, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 32.762, 'AssignmentId': '3Z4XG4ZF4O764LO48VAYNQWVGQ18XL', 'HITId': '324N5FAHTCRV8DNGQ31I0QCBHR8KVL', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 36.455, 'AssignmentId': '3TMSXRD2XMG94LZTZ55X6XVGTIPW1W', 'HITId': '324N5FAHTCRV8DNGQ31I0QCBHR8KVL', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",2,2,0,2,False,False
let sleeping dogs lie,its best to leave a situation as it is if disturbing it might cause trouble,We should let sleeping dogs lie,2,"{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 36.543, 'AssignmentId': '33JKGHPFYSAGDGC40QX8U66SZOENMH', 'HITId': '3XDJY5RK671AHW9D0L4XXNLW6Z64UP', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 2, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 32.762, 'AssignmentId': '3Z4XG4ZF4O764LO48VAYNQWVGQ18XL', 'HITId': '324N5FAHTCRV8DNGQ31I0QCBHR8KVL', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 36.455, 'AssignmentId': '3TMSXRD2XMG94LZTZ55X6XVGTIPW1W', 'HITId': '324N5FAHTCRV8DNGQ31I0QCBHR8KVL', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",2,2,0,2,False,False
rabbit hole,mentally go somewhere surreal or strange,He went down the rabbit hole,2,"{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 36.543, 'AssignmentId': '33JKGHPFYSAGDGC40QX8U66SZOENMH', 'HITId': '3XDJY5RK671AHW9D0L4XXNLW6Z64UP', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 2, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 32.762, 'AssignmentId': '3Z4XG4ZF4O764LO48VAYNQWVGQ18XL', 'HITId': '324N5FAHTCRV8DNGQ31I0QCBHR8KVL', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 36.455, 'AssignmentId': '3TMSXRD2XMG94LZTZ55X6XVGTIPW1W', 'HITId': '324N5FAHTCRV8DNGQ31I0QCBHR8KVL', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",2,2,0,2,False,False
rain check,declining an offer that might be taken up later.,Let's take a rain check,2,"{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 36.543, 'AssignmentId': '33JKGHPFYSAGDGC40QX8U66SZOENMH', 'HITId': '3XDJY5RK671AHW9D0L4XXNLW6Z64UP', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 0, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 32.762, 'AssignmentId': '3Z4XG4ZF4O764LO48VAYNQWVGQ18XL', 'HITId': '324N5FAHTCRV8DNGQ31I0QCBHR8KVL', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 36.455, 'AssignmentId': '3TMSXRD2XMG94LZTZ55X6XVGTIPW1W', 'HITId': '324N5FAHTCRV8DNGQ31I0QCBHR8KVL', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",0,0,2,0,False,True
